fit_time,score_time,test_accuracy,test_balanced_accuracy,test_average_precision,test_f1,test_f1_micro,test_f1_macro,test_f1_weighted,test_precision,test_recall,Target,Model,Dataset
0.5520510673522949,0.18992018699645996,0.9988647402361809,0.6964989679185589,0.7507411777957372,0.5402843601895735,0.9988647402361809,0.7698580142825706,0.9986524780418132,0.8636363636363636,0.3931034482758621,Class,RidgeClassifier(),creditcard
0.5047199726104736,0.3028392791748047,0.9989817773252344,0.7104677060133631,0.749219460380829,0.5628140703517588,0.9989817773252344,0.7811521827266594,0.9988105678226522,0.8484848484848485,0.42105263157894735,Class,RidgeClassifier(),creditcard
0.623178243637085,0.22624492645263672,0.9988998513628969,0.7006595919781102,0.7241153586838915,0.5392156862745099,0.9988998513628969,0.7693324772521587,0.9987113259673884,0.8208955223880597,0.40145985401459855,Class,RidgeClassifier(),creditcard
5.387436389923096,0.18968796730041504,0.998934962489613,0.8286245773206389,0.6382447112185904,0.6829268292682927,0.998934962489613,0.8411967073263662,0.998914586699219,0.7101449275362319,0.6577181208053692,Class,LogisticRegression(multi_class='ovr'),creditcard
5.329650402069092,0.29282402992248535,0.9990754069964772,0.8363743099092567,0.6240185387957424,0.726643598615917,0.9990754069964772,0.8630902594801773,0.9990386775604804,0.7894736842105263,0.6730769230769231,Class,LogisticRegression(multi_class='ovr'),creditcard
5.308173894882202,0.2006065845489502,0.9989817773252344,0.8451602455124222,0.6228323547160856,0.7070707070707071,0.9989817773252344,0.8532803546784519,0.998969798959151,0.7241379310344828,0.6907894736842105,Class,LogisticRegression(multi_class='ovr'),creditcard
7.444143533706665,0.19753408432006836,0.9982210362463865,0.49991794150401503,0.002906703107574811,0.0,0.9982210362463865,0.49955486312040953,0.99749605230356,0.0,0.0,Class,SGDClassifier(),creditcard
10.421479225158691,0.19767975807189941,0.9981976288285758,0.49999413764802436,0.0027840146337597786,0.0,0.9981976288285758,0.4995490007731415,0.9973089492630465,0.0,0.0,Class,SGDClassifier(),creditcard
7.856246471405029,0.20407629013061523,0.9984082955888721,0.49996483537092823,0.0024885029563567838,0.0,0.9984082955888721,0.499601756954612,0.9976832435909042,0.0,0.0,Class,SGDClassifier(),creditcard
0.8024368286132812,0.30133605003356934,0.9979869620682794,0.5,0.002715164741813281,0.0,0.9979869620682794,0.4994962334664996,0.9969814572035599,0.0,0.0,Class,Perceptron(),creditcard
0.7341289520263672,0.3162841796875,0.9981742214107651,0.4999941375105525,0.0025343261708870753,0.0,0.9981742214107651,0.49954313828852576,0.997273859259431,0.0,0.0,Class,Perceptron(),creditcard
0.8114733695983887,0.1915745735168457,0.9982912584998186,0.49999413819784755,0.0035220293903296907,0.0,0.9982912584998186,0.49957244933817496,0.9974493120243355,0.0,0.0,Class,Perceptron(),creditcard
48.12384247779846,0.2286379337310791,0.9939842936226491,0.7048662939636584,0.1310399307682934,0.20923076923076925,0.9939842936226491,0.6031057156851936,0.9954686484879782,0.13991769547325103,0.4146341463414634,Class,LinearSVC(),creditcard
51.68803691864014,0.20369243621826172,0.9977645915990777,0.7337535396855177,0.3423304222278482,0.43988269794721413,0.9977645915990777,0.7193813794640934,0.9978332861944436,0.4143646408839779,0.46875,Class,LinearSVC(),creditcard
43.042476415634155,0.3269693851470947,0.9982327399552918,0.5424242424242425,0.15171274215489716,0.1564245810055866,0.9982327399552918,0.5777700122130922,0.9974881130096983,1.0,0.08484848484848485,Class,LinearSVC(),creditcard
2.775681257247925,8.68659782409668,0.9982093325374811,0.5188679245283019,0.09375347296413336,0.07272727272727272,0.9982093325374811,0.5359155368328229,0.9973799163839265,1.0,0.03773584905660377,Class,KNeighborsClassifier(),creditcard
2.435410976409912,9.355028629302979,0.9985721475135471,0.5307692307692308,0.12062346164642432,0.11594202898550725,0.9985721475135471,0.5576137628704798,0.9979415054301233,1.0,0.06153846153846154,Class,KNeighborsClassifier(),creditcard
2.619797468185425,8.372518301010132,0.9984199992977775,0.5344827586206896,0.11931431242748332,0.12903225806451613,0.9984199992977775,0.5641207702514859,0.997732559142993,1.0,0.06896551724137931,Class,KNeighborsClassifier(),creditcard
23.59405827522278,0.19089555740356445,0.999204147794436,0.8756930944224699,0.5737041856563733,0.757142857142857,0.999204147794436,0.8783721389802066,0.9992013101299851,0.762589928057554,0.75177304964539,Class,DecisionTreeClassifier(),creditcard
16.9946231842041,0.24527716636657715,0.9990871107053826,0.873909320340404,0.5455517469650479,0.7382550335570469,0.9990871107053826,0.868898895773529,0.9990932267763171,0.7284768211920529,0.7482993197278912,Class,DecisionTreeClassifier(),creditcard
19.238171339035034,0.23287606239318848,0.9990519995786665,0.8416890397243451,0.4859657650958623,0.6966292134831461,0.9990519995786665,0.8480772357570989,0.9990431370608315,0.7099236641221374,0.6838235294117647,Class,DecisionTreeClassifier(),creditcard
361.3415286540985,0.39950108528137207,0.99916903666772,0.8290142582242859,0.5397713595784975,0.7455197132616487,0.99916903666772,0.87255177607141,0.9991140270551835,0.859504132231405,0.6582278481012658,Class,GradientBoostingClassifier(),creditcard
381.34128284454346,0.4014768600463867,0.9987711105649381,0.7415635745128617,0.4196287144317366,0.5816733067729084,0.9987711105649381,0.7905289791109539,0.998646446879332,0.73,0.48344370860927155,Class,GradientBoostingClassifier(),creditcard
381.37219166755676,0.4019656181335449,0.9985721475135471,0.6391936047637742,0.26485821580311814,0.419047619047619,0.9985721475135471,0.7091664071942494,0.9982122281340361,0.8461538461538461,0.27848101265822783,Class,GradientBoostingClassifier(),creditcard
